Section,Title,Authors,Year,Cites,Source_File
2.1,Life cycle assessment of integrated additive–subtractive concrete 3D printing,"I Muñoz, J Alonso-Madrid, M Menéndez-Muñiz…",2021,86,group C.csv
2.1,Continuous mobile thin-layer on-site printing,"SE Jenny, LL Pietrasik, E Sounigo, PH Tsai…",2023,27,group C.csv
2.1,Advancing construction in existing contexts: Prospects and barriers of 3d printing with mobile robots for building maintenance and repair,"K Dörfler, G Dielemans, S Leutenegger…",2024,25,group C.csv
2.1,A comprehensive performance evaluation of different mobile manipulators used as displaceable 3D printers of building elements for the construction industry,"RG Rivera, RG Alvarado, A Martinez-Rocamora…",2020,24,group B.csv
2.1,A continuous model for the simulation of manufacturing swarm robotics,F Auricchio,2022,9,group C.csv
2.1,The business case for 3D printing in the built environment,"PL Rosendahl, A Wolf",2022,3,group C.csv
2.1,Accuracy of large-scale cable-driven parallel robot with universal joint pulleys,"T Paty, N Binaud, F Bugarin, S Segonds",2021,2,group C.csv
2.1,Energy Consumption Modeling for a Robot Arm in 3D Concrete Printing,"T Liu, FT Song Du, Y Weng",2025,0,group C.csv
2.1,"6-DOF Outdoor High-Load Robot for Solar Panel Array Installation: Deformation Compensation, Inverse Kinematics and Decoupling Control","S Li, X Yang",2025,0,group C.csv
2.1,Sequencing Automated Multi-Agent Wall Construction-UAV Case Scenario,B Elkhapery,2023,0,group C.csv
2.1,Fusion reactor manipulator coupling error analysis and virtual-real interaction control,"C Zuo, P Zhou, F Wang, G Qin, S Liu, X Qin…",2026,0,group C.csv
2.1,Developing a hybrid actuated cable-driven parallel manipulator using a compact tape rod actuator,PW Sanford,2025,0,group C.csv
2.1,A new agile driving module for cable manipulators,"SAA Moosavian, SSS HasanAbadi…",2025,0,group C.csv
2.2,"Influence of hydroxypropyl methylcellulose and silica fume on stability, rheological properties, and printability of 3D printing foam concrete","C Liu, X Wang, Y Chen, C Zhang, L Ma, Z Deng…",2021,246,group B.csv
2.2,3D printing of clay for decorative architectural applications: Effect of solids volume fraction on rheology and printability,"SSL Chan, RM Pennings, L Edwards, GV Franks",2020,177,group C.csv
2.2,Robotic on-site adaptive thin-layer printing: Challenges and workflow for design and fabrication of bespoke cementitious plasterwork at full architectural scale,"S Ercan Jenny, D Mitterberger, E Lloret-Fritschi…",2023,10,group A.csv
2.2,In-Situ vs. Prefab 3D Printing Considerations for CO2-free Pop-up Architecture,"A Aslaminezhad, A Hidding, H Bier, G Calabrese",2024,1,group B.csv
2.2,Autonomous Maintenance of Highway Pavements: A Framework Aiming toward Implementation,"D Palin, S Schaefer, AM d'Avigneau, J Xu…",2026,0,group A.csv
2.2,Evaluation of Materials and Additives on the Printability and Buildability of Mortars for 3D Printing,"PHC Drumond, LB Soares, JVF Altoé, CS Altoé…",2025,0,group B.csv
2.2,"Influence of Process Parameters on the Mechanical Performance of 3D Printed ABS: A Comparative Study of Experimental, Numerical, and Statistical Analysis",MZH Bhuiyan,2025,0,group B.csv
3,"Digital light processing based multimaterial 3D printing: challenges, solutions and perspectives","J Cheng, S Yu, R Wang, Q Ge",2024,96,group C.csv
3,"Frontiers in construction 3D printing: self-monitoring, multi-robot, drone-assisted processes","S Li, T Lan, HX Nguyen, P Tran",2025,18,group A.csv
3,Geometrical quality inspection in 3D concrete printing using AI-assisted computer vision,"W Cui, W Liu, R Guo, D Wan, X Yu, L Ding…",2025,12,group A.csv
3,Mass Customisation Strategies in Additive Manufacturing: A Systematic Review and Implementation Framework,"SK Fianko, TC Dzogbewu, E Agbamava, DJ de Beer",2025,11,group A.csv
3,… review on integrating vision-based sensing in extrusion-based 3D printing processes: toward geometric monitoring of extrusion-based 3D concrete printing,"P Farrokhsiar, B Gursoy, JP Duarte",2024,6,group A.csv
3,"Vision-based sensing and digital twin technologies in conformal 3D concrete printing: exploring operational accuracy, adaptability, and scalability, and …","ÖB Çapunaman, P Farrokhsiar, SG Bilén…",2025,5,group C.csv
