Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"M El Mesoudy, R Foulki, D Amegouz…","Artificial Intelligence in 3D Concrete Printing: A Review of Applications, Integration and Future Prospects",2025,… Conference on Digital …,Springer,https://link.springer.com/chapter/10.1007/978-3-032-07915-2_41,,1,2026-01-26 17:59,,10.1007/978-3-032-07915-2_41,,,,,,,0,0,0,4,1,… Artificial Intelligence (AI) emerged as a transformative … made significant progress through 3D Concrete Printing (3DCP) … along with managing process control and material behavior while …,,https://scholar.google.com/scholar?q=related:n-nbc83aBXkJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22process+control%22+%22artificial+intelligence%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026
57,"TKN Quah, YWD Tay, JH Lim, MJ Tan, TN Wong…","Concrete 3D printing: Process parameters for process control, monitoring and diagnosis in automation and construction",2023,Mathematics,mdpi.com,https://www.mdpi.com/2227-7390/11/6/1499,https://scholar.google.com/scholar?cites=11957059442582680933&as_sdt=2005&sciodt=2007&hl=en,2,2026-01-26 17:59,HTML,,,,,,,,57,19,10,6,3,… This review paper will attempt to discuss the importance of process control parameters. The introduction has provided a brief overview of the building and construction industry in …,https://www.mdpi.com/2227-7390/11/6/1499,https://scholar.google.com/scholar?q=related:ZfVeOTYC8KUJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22process+control%22+%22artificial+intelligence%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026
9,"M Mirwais, M Adeel, AW Rahmani…",AI-Driven Generative Design for Next-Generation 3D Concrete Printing in Architecture: State of the Art,2025,European Journal of …,ejaset.com,https://ejaset.com/index.php/journal/article/view/223,https://scholar.google.com/scholar?cites=9552363076133856299&as_sdt=2005&sciodt=2007&hl=en,3,2026-01-26 17:59,,,,,,,,,9,9,2,4,1,"… The convergence of artificial intelligence (AI) and 3D concrete printing (3DCP) heralds a … by automating design exploration, real-time process control, and lifecycle management. The …",https://ejaset.com/index.php/journal/article/download/223/169,https://scholar.google.com/scholar?q=related:KySEbpvPkIQJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22process+control%22+%22artificial+intelligence%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026
38,"F Parisi, V Sangiorgio, N Parisi, AM Mangini…",A new concept for large additive manufacturing in construction: tower crane-based 3D printing controlled by deep reinforcement learning,2024,Construction …,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/ci-10-2022-0278/full/html,https://scholar.google.com/scholar?cites=5671769137176828590&as_sdt=2005&sciodt=2007&hl=en,4,2026-01-26 17:59,,10.1108/ci-10-2022-0278,,,,,,,38,19,8,5,2,… )-based 3D printing controlled by artificial intelligence (AI) as the … The growing interest in extrusion-based 3D concrete printing in … large extrusion-based 3D concrete printing (Figure 1): …,https://www.emerald.com/ci/article/24/1/8/1230032,https://scholar.google.com/scholar?q=related:rtpy3fortk4J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22process+control%22+%22artificial+intelligence%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026
1,"G Murtaza, G Baldinelli",Revolutionizing Architecture: 3D Printing in Large Construction Industry and Strategic Innovations for Enhanced Performance,2025,Applied Research,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/appl.70033,https://scholar.google.com/scholar?cites=11507728133508124363&as_sdt=2005&sciodt=2007&hl=en,5,2026-01-26 17:59,,10.1002/appl.70033,,,,,,,1,1,1,2,1,… 3D concrete printing in various studies are given in Table 4. … concrete mixture for 3D concrete printing in previous studies. … Machine learning is a type of artificial intelligence and involves …,https://onlinelibrary.wiley.com/doi/pdf/10.1002/appl.70033,https://scholar.google.com/scholar?q=related:y06FUcSps58J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22process+control%22+%22artificial+intelligence%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026
2,"D Sokolov, A Dementyev, A H?nel, S Ihlenfeldt…","Digital Twins in 3D Concrete Printing: Information Model, Enablers, and Major Challenges",,"Enablers, and Major …",papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4791532,https://scholar.google.com/scholar?cites=16714173007120583618&as_sdt=2005&sciodt=2007&hl=en,6,2026-01-26 17:59,,,,,,,,,2,0,0,5,,"… , 3D Concrete Printing (3DCP), has placed so far barely explored demands on 34 comprehensive process control. … time process control. Inline geometry assessment implies the principle …",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4791532,https://scholar.google.com/scholar?q=related:wkvYY8ur9OcJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22process+control%22+%22artificial+intelligence%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026
12,"W Cui, W Liu, R Guo, D Wan, X Yu, L Ding…",Geometrical quality inspection in 3D concrete printing using AI-assisted computer vision,2025,Materials and Structures,Springer,https://link.springer.com/article/10.1617/s11527-025-02594-0,https://scholar.google.com/scholar?cites=3540420200590332597&as_sdt=2005&sciodt=2007&hl=en,7,2026-01-26 17:59,HTML,10.1617/s11527-025-02594-0,,,,,,,12,12,2,7,1,… of extruded material in 3D concrete printing. One approach is … artificial intelligence (AI) has introduced new possibilities for analyzing and controlling deformation in 3D concrete printing…,https://link.springer.com/article/10.1617/s11527-025-02594-0,https://scholar.google.com/scholar?q=related:tdLNG2oZIjEJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22process+control%22+%22artificial+intelligence%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026
1,"W Liu, D Ji, W Cui, X Shi, C Liu, Y Tao",Research Progress on Quality Control Method of Concrete 3D Printing Based on Computer Vision,2024,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-981-96-5693-6_29,https://scholar.google.com/scholar?cites=12736123759805180214&as_sdt=2005&sciodt=2007&hl=en,8,2026-01-26 17:59,,10.1007/978-981-96-5693-6_29,,,,,,,1,0.5,0,6,2,"… printing strips during the printing process can minimize deviations in the size and shape of printed concrete components, thereby improving the overall quality of 3D concrete printing. …",https://scholar.google.com/scholar?output=instlink&q=info:NqmZphTNv7AJ:scholar.google.com/&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026&scillfp=16197297040559309097&oi=lle,https://scholar.google.com/scholar?q=related:NqmZphTNv7AJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22process+control%22+%22artificial+intelligence%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026
0,"JCJ Spieringhs, TAMT Salet, RJMR Wolfs…",Automated Data-Driven Decision-Making Ensuring 3D-Printed Con-crete Performance using Machine Learning,2024,,research.tue.nl,https://research.tue.nl/files/327247668/Spieringhs_1482475_ABP_Salet_MSc_thesis.pdf,,9,2026-01-26 17:59,PDF,,,,,,,,0,0,0,4,2,… 3D concrete printing has the potential to substantially impact … 3D concrete printing (3DCP) holds the potential to impact the … Conventional quality and process control algorithms are well-…,https://research.tue.nl/files/327247668/Spieringhs_1482475_ABP_Salet_MSc_thesis.pdf,https://scholar.google.com/scholar?q=related:PEd8pBbHkZAJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22process+control%22+%22artificial+intelligence%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026
0,"V Nguyen-Van, M Dai, BL Dang","3D concrete printing for digital construction: Materials, process integration, and emerging performance paradigms",2026,Materials and Emerging …,World Scientific,https://www.worldscientific.com/doi/abs/10.1142/S3060932126300015,,10,2026-01-26 17:59,,10.1142/S3060932126300015,,,,,,,0,0,0,3,1,"… In Phase 4, artificial intelligence and machine learning algorithms act as the decision-making … but are strongly dependent on material design and process control. Dense binder systems, …",,https://scholar.google.com/scholar?q=related:HG1WbLlXYbYJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22process+control%22+%22artificial+intelligence%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026
