Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
132,"N Hack, H Kloft","Shotcrete 3D printing technology for the fabrication of slender fully reinforced freeform concrete elements with high surface quality: a real-scale demonstrator",2020,"RILEM International Conference on Concrete and …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-49916-7_107","https://scholar.google.com/scholar?cites=1990069429468349855&as_sdt=2005&sciodt=2007&hl=en",1,"2026-01-26 18:01:20","","10.1007/978-3-030-49916-7_107","",,,,,,132,22.00,66,2,6,"… of a novel 3D concrete printing technology called Shotcrete 3D … and secondly an automated surface finishing process for a high-… in relation to the state of the art in 3D concrete printing. …","https://drive.google.com/file/d/1UE4vyT75Ty8FovzGsRrZEh926rOSVBwF/view","https://scholar.google.com/scholar?q=related:n0XTLZolnhsJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
100,"F Heidarnezhad, Q Zhang","Shotcrete based 3D concrete printing: State of art, challenges, and opportunities",2022,"Construction and Building Materials","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950061822002379","https://scholar.google.com/scholar?cites=9539312707888444883&as_sdt=2005&sciodt=2007&hl=en",2,"2026-01-26 18:01:20","HTML","","",,,,,,100,25.00,50,2,4,"… an alternative concrete additive manufacturing process to the more widely used extrusion-based printing in order to overcome the challenges that extrusion-based 3D concrete printing …","https://www.sciencedirect.com/science/article/pii/S0950061822002379","https://scholar.google.com/scholar?q=related:03UPy11yYoQJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
102,"JH Lim, Y Weng, QC Pham","3D printing of curved concrete surfaces using Adaptable Membrane Formwork",2020,"Construction and Building Materials","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950061819325176","https://scholar.google.com/scholar?cites=121216168792845816&as_sdt=2005&sciodt=2007&hl=en",3,"2026-01-26 18:01:20","HTML","","",,,,,,102,17.00,34,3,6,"… work flow of using a flexible mould alongside 3D concrete printing. However Costanzi et al. did not … We will demonstrate 3D concrete printing of the full curved structure directly onto an …","https://www.sciencedirect.com/science/article/pii/S0950061819325176","https://scholar.google.com/scholar?q=related:-G3umXalrgEJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
0,"M David, K Dröder","Robot-Guided End Effector for an Automated Finishing of Concrete Free-Form Surfaces",2024,"RILEM International Conference on Concrete and …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-70031-6_7","",4,"2026-01-26 18:01:20","","10.1007/978-3-031-70031-6_7","",,,,,,0,0.00,0,2,2,"… surface finishing during a timeframe of residual deformability. Examples for post-processes … the robot guided surface finishing with form-trowels [18] or the surface finishing of a double …","","https://scholar.google.com/scholar?q=related:ysPru95DNvsJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
27,"Z Zhuang, F Xu, J Ye, N Hu, L Jiang…","A comprehensive review of sustainable materials and toolpath optimization in 3D concrete printing",2024,"npj Materials …","nature.com","https://www.nature.com/articles/s44296-024-00017-9","https://scholar.google.com/scholar?cites=8941207145736262683&as_sdt=2005&sciodt=2007&hl=en",5,"2026-01-26 18:01:20","HTML","","",,,,,,27,13.50,5,6,2,"… This study presents a comprehensive overview of three vital aspects integrated with 3D concrete printing (3DCP) that contribute to enhancing sustainability in the construction sector. …","https://www.nature.com/articles/s44296-024-00017-9","https://scholar.google.com/scholar?q=related:G1TLyIaMFXwJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
33,"I Mai, L Brohmann, N Freund, S Gantner, H Kloft…","Large particle 3D concrete printing—a green and viable solution",2021,"Materials","mdpi.com","https://www.mdpi.com/1996-1944/14/20/6125","https://scholar.google.com/scholar?cites=5422624495294513747&as_sdt=2005&sciodt=2007&hl=en",6,"2026-01-26 18:01:20","HTML","","",,,,,,33,6.60,6,6,5,"… This portal is used for the surface finishing of 3D-printed structures, either directly after printing when the concrete has not yet fully cured [57], or for precise cutting or milling in the cured …","https://www.mdpi.com/1996-1944/14/20/6125","https://scholar.google.com/scholar?q=related:U4JciD8IQUsJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
12,"M Bekaert, K Van Tittelboom, G De Schutter","The effect of curing conditions on the service life of 3D printed concrete formwork",2023,"Materials","mdpi.com","https://www.mdpi.com/1996-1944/16/21/6972","https://scholar.google.com/scholar?cites=7697294588584641580&as_sdt=2005&sciodt=2007&hl=en",7,"2026-01-26 18:01:20","HTML","","",,,,,,12,4.00,4,3,3,"… The effect of the curing condition as well as two different surface finishing techniques of the … One of the main advantages of 3D concrete printing is that no formwork is needed. However…","https://www.mdpi.com/1996-1944/16/21/6972","https://scholar.google.com/scholar?q=related:LMQfdKVI0moJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
9,"P Kinnell, J Dobranski, J Xu, W Wang, JT Kolawole…","Precision manufacture of concrete parts using integrated robotic 3D printing and milling",2021,"","repository.lboro.ac.uk","https://repository.lboro.ac.uk/articles/conference_contribution/Precision_manufacture_of_concrete_parts_using_integrated_robotic_3D_printing_and_milling/14994456","https://scholar.google.com/scholar?cites=13760855638288711249&as_sdt=2005&sciodt=2007&hl=en",8,"2026-01-26 18:01:20","","","",,,,,,9,1.80,2,6,5,"… 3D concrete printing or 3DCP, has been in development for the past 15-20 years. The first … the surface finishing with multiple finishing passes. Here, the ends of the part and the outer …","https://repository.lboro.ac.uk/articles/conference_contribution/Precision_manufacture_of_concrete_parts_using_integrated_robotic_3D_printing_and_milling/14994456/1/files/28861989.pdf","https://scholar.google.com/scholar?q=related:UT6hfUth-L4J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
0,"S Lei","Power floating plastic-state concrete for additive manufacturing applications",2025,"","repository.lboro.ac.uk","https://repository.lboro.ac.uk/articles/thesis/Power_floating_plastic-state_concrete_for_additive_manufacturing_applications/28409501","",9,"2026-01-26 18:01:20","","","",,,,,,0,0.00,0,1,1,"… feature of 3DCP (3D Concrete Printing), imposes limitations on … Traditional surface finishing methods like sandblasting, … the automated printing and surface finishing system, selection …","https://repository.lboro.ac.uk/articles/thesis/Power_floating_plastic-state_concrete_for_additive_manufacturing_applications/28409501/1/files/52341119.pdf","https://scholar.google.com/scholar?q=related:vJ2_hzOd3FsJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
61,"AK Al-Tamimi, HH Alqamish, A Khaldoune, H Alhaidary…","Framework of 3D concrete printing potential and challenges",2023,"Buildings","mdpi.com","https://www.mdpi.com/2075-5309/13/3/827?utm_source=releaseissue&utm_medium=email&utm_campaign=releaseissue_buildings&utm_term=doilink248&recipient=salnapitt.3@gmail.com&subject=Buildings%2C%20Volume%2013%2C%20Issue%203%20%28March%202023%29%20Table%20of%20Contents&campaign=ReleaseIssue","https://scholar.google.com/scholar?cites=691612470274201522&as_sdt=2005&sciodt=2007&hl=en",10,"2026-01-26 18:01:20","HTML","","",,,,,,61,20.33,12,5,3,"… This method also enhances the product’s surface finishing through an attached trowel that … is extruded on the specified path and the surface finishing is done by the trowels that are …","https://www.mdpi.com/2075-5309/13/3/827?utm_source=releaseissue&utm_medium=email&utm_campaign=releaseissue_buildings&utm_term=doilink248&recipient=salnapitt.3@gmail.com&subject=Buildings%2C%20Volume%2013%2C%20Issue%203%20%28March%202023%29%20Table%20of%20Contents&campaign=ReleaseIssue","https://scholar.google.com/scholar?q=related:spfsnOAZmQkJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22surface+finishing%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
