Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"M Rastegarpanah, ME Asif, J Butt, H Voos…","Mobile robotics and 3D printing: addressing challenges in path planning and scalability",2024,"Virtual and Physical …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/17452759.2024.2433588","https://scholar.google.com/scholar?cites=8655610924280342212&as_sdt=2005&sciodt=2007&hl=en",1,"2026-01-26 18:10:31","","10.1080/17452759.2024.2433588","",,,,,,13,6.50,3,5,2,"… These reviews highlight the requirement for better integration between mobile robot navigation–specifically path planning, localisation, and collision avoidance–and the precision of …","https://www.tandfonline.com/doi/pdf/10.1080/17452759.2024.2433588","https://scholar.google.com/scholar?q=related:xGa4t0boHngJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22path+planning%22+%22robot%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
87,"L Breseghello, R Naboni","Toolpath-based design for 3D concrete printing of carbon-efficient architectural structures",2022,"Additive Manufacturing","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214860422002718","https://scholar.google.com/scholar?cites=12729344796019978272&as_sdt=2005&sciodt=2007&hl=en",2,"2026-01-26 18:10:31","HTML","","",,,,,,87,21.75,44,2,4,"The paper presents a data-informed toolpath-based design approach for 3D Concrete Printing (3DCP) for the fabrication of architectural horizontal structures in one continuous printing …","https://www.sciencedirect.com/science/article/pii/S2214860422002718","https://scholar.google.com/scholar?q=related:IPA8Jqa3p7AJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22path+planning%22+%22robot%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
0,"L Ciprian, CM Negrutiu, S Ioan","Multi-Criteria Decision Framework for Optimal Robotic System Selection in 3D Concrete Printing",2026,"Buildings","search.proquest.com","https://search.proquest.com/openview/1d5c4b5c994e82229342fcdd622e897c/1?pq-origsite=gscholar&cbl=2032422","",3,"2026-01-26 18:10:31","HTML","","",,,,,,0,0.00,0,3,1,"… an articulated robotic arm, and a parallel delta robot. The results showed that the articulated … in decoupled motion that greatly simplifies the path planning (no singularity in the workspace…","https://search.proquest.com/openview/1d5c4b5c994e82229342fcdd622e897c/1?pq-origsite=gscholar&cbl=2032422","https://scholar.google.com/scholar?q=related:-w4FmNkqEf4J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22path+planning%22+%22robot%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
8,"A Sahu, B Panda","A TSP-based continuous path planning for additive manufacturing of concrete",2025,"Progress in Additive Manufacturing","Springer","https://link.springer.com/article/10.1007/s40964-024-00746-2","https://scholar.google.com/scholar?cites=17827804380339274770&as_sdt=2005&sciodt=2007&hl=en",4,"2026-01-26 18:10:31","HTML","10.1007/s40964-024-00746-2","",,,,,,8,8.00,4,2,1,"… approach to path planning in 3D concrete printing that uses … global continuous path for 3D concrete printing in multi-… manual intervention in the path-planning process. Although …","https://link.springer.com/article/10.1007/s40964-024-00746-2","https://scholar.google.com/scholar?q=related:EoRGz6AVafcJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22path+planning%22+%22robot%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
4,"S Huang, W Xu, H Hu","Space-filling and print path generation methods for large-area 3D concrete printing pavements",2023,"Architectural Intelligence","Springer","https://link.springer.com/article/10.1007/s44223-023-00032-1","https://scholar.google.com/scholar?cites=18323010814875446911&as_sdt=2005&sciodt=2007&hl=en",5,"2026-01-26 18:10:31","HTML","10.1007/s44223-023-00032-1","",,,,,,4,1.33,1,3,3,"… 3D concrete printing technology can simultaneously meet … By using a robot instead of a human to deposit the fast-setting … flexibility and precision of the robot, 3D printing technology can …","https://link.springer.com/article/10.1007/s44223-023-00032-1","https://scholar.google.com/scholar?q=related:f65KtEFpSP4J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22path+planning%22+%22robot%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
10,"D Kajzr, T Myslivec, J Černohorský","Modelling, analysis and comparison of robot energy consumption for three-dimensional concrete printing technology",2024,"Robotics","mdpi.com","https://www.mdpi.com/2218-6581/13/5/78","https://scholar.google.com/scholar?cites=9261749833270039430&as_sdt=2005&sciodt=2007&hl=en",6,"2026-01-26 18:10:31","HTML","","",,,,,,10,5.00,3,3,2,"… in 3D Construction Printing or 3D Concrete Printing (3DCP) … and path planning need to be set. In [9], the quantities related to the energy consumption of a highly loaded industrial robot (…","https://www.mdpi.com/2218-6581/13/5/78","https://scholar.google.com/scholar?q=related:hhOYCmdYiIAJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22path+planning%22+%22robot%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
18,"S Li, T Lan, HX Nguyen, P Tran","Frontiers in construction 3D printing: self-monitoring, multi-robot, drone-assisted processes",2025,"Progress in Additive Manufacturing","Springer","https://link.springer.com/article/10.1007/s40964-024-00794-8","https://scholar.google.com/scholar?cites=11835261174227457181&as_sdt=2005&sciodt=2007&hl=en",7,"2026-01-26 18:10:31","HTML","10.1007/s40964-024-00794-8","",,,,,,18,18.00,5,4,1,"… relevant software and hardware, 3D concrete printing (3DCP), robot-assisted assembly of … robot-assisted structural designs are conducted. Finally, the limitations of existing robot-…","https://link.springer.com/article/10.1007/s40964-024-00794-8","https://scholar.google.com/scholar?q=related:ndTMAVVLP6QJ:scholar.google.com/&scioq=%223d+concrete+printing%22+%22path+planning%22+%22robot%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
25,"K Dörfler, G Dielemans, S Leutenegger…","Advancing construction in existing contexts: Prospects and barriers of 3d printing with mobile robots for building maintenance and repair",2024,"Cement and Concrete …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0008884624002370","https://scholar.google.com/scholar?cites=3408330314983540395&as_sdt=2005&sciodt=2007&hl=en",8,"2026-01-26 18:10:31","HTML","","",,,,,,25,12.50,6,4,2,"… Their ability to cooperate with one another allows for deployment in multi-robot settings, offering scalability in speed by their number. Despite their promising potential, mobile 3D …","https://www.sciencedirect.com/science/article/pii/S0008884624002370","https://scholar.google.com/scholar?q=related:qwbKBV3STC8J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22path+planning%22+%22robot%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
12,"Z Ma, W Wan, L Song, C Liu, H Liu, Y Wu","an approach of path optimization algorithm for 3D concrete printing based on graph theory",2022,"Applied Sciences","mdpi.com","https://www.mdpi.com/2076-3417/12/22/11315","https://scholar.google.com/scholar?cites=13723717109468071354&as_sdt=2005&sciodt=2007&hl=en",9,"2026-01-26 18:10:31","HTML","","",,,,,,12,3.00,2,6,4,"… path planning, with the aim of solving 3D concrete printing still … the nozzle path planning strategy and robot kinematics affect the … 3D concrete printing path planning algorithms [21,22]. …","https://www.mdpi.com/2076-3417/12/22/11315","https://scholar.google.com/scholar?q=related:uoXL6_9vdL4J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22path+planning%22+%22robot%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
7,"B Blagojevic, B Schönemann, D Nigl…","Trajectory planning for concrete element fabrication with optimal control",2021,"IECON 2021–47th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9589695/","https://scholar.google.com/scholar?cites=11522495051279607359&as_sdt=2005&sciodt=2007&hl=en",10,"2026-01-26 18:10:31","","","",,,,,,7,1.40,2,4,5,"… found within the field of 3D-concrete printing (3DCP). In [5], a six-axis robot with a screw pump… In section IV, path planning and the notion of volume demand are presented for the given …","https://ieeexplore.ieee.org/iel7/9588332/9589036/09589695.pdf","https://scholar.google.com/scholar?q=related:P6a3STMg6J8J:scholar.google.com/&scioq=%223d+concrete+printing%22+%22path+planning%22+%22robot%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2026"
